Біграма;Кількість;Частота
кр;537;0.001552
ня;534;0.001543
 х;532;0.001538
ул;531;0.001535
ее;529;0.001529
мн;526;0.001520
чи;523;0.001512
си;522;0.001509
аж;519;0.001500
ид;514;0.001485
ок;512;0.001480
вн;503;0.001454
оп;500;0.001445
ае;492;0.001422
лс;486;0.001405
ты;484;0.001399
ич;476;0.001376
ще;471;0.001361
лу;468;0.001353
уг;467;0.001350
ый;457;0.001321
з ;457;0.001321
ля;456;0.001318
жа;450;0.001301
жи;449;0.001298
ьк;447;0.001292
еб;447;0.001292
ши;439;0.001269
тс;438;0.001266
гл;433;0.001251
бу;416;0.001202
ия;414;0.001196
еч;412;0.001191
ек;410;0.001185
ку;408;0.001179
нь;406;0.001173
бр;400;0.001156
ез;399;0.001153
ев;391;0.001130
тн;389;0.001124
еш;383;0.001107
св;381;0.001101
ий;374;0.001081
дь;369;0.001066
еп;366;0.001058
г ;363;0.001049
ир;357;0.001032
ус;356;0.001029
гд;348;0.001006
ря;345;0.000997
рь;337;0.000974
ё ;336;0.000971
га;335;0.000968
см;334;0.000965
ош;326;0.000942
оз;323;0.000933
ша;322;0.000931
дв;321;0.000928
ах;321;0.000928
сн;319;0.000922
сё;317;0.000916
ещ;314;0.000907
зв;312;0.000902
аш;308;0.000890
ьс;306;0.000884
д ;306;0.000884
па;303;0.000876
иц;302;0.000873
аю;300;0.000867
чн;297;0.000858
ую;297;0.000858
ры;296;0.000855
ым;296;0.000855
пи;288;0.000832
вд;285;0.000824
р ;283;0.000818
ач;282;0.000815
пу;279;0.000806
ыв;278;0.000803
ых;275;0.000795
мы;272;0.000786
би;270;0.000780
ап;268;0.000775
еж;266;0.000769
зу;258;0.000746
це;256;0.000740
рт;256;0.000740
уч;255;0.000737
ыт;253;0.000731
ж ;252;0.000728
лю;251;0.000725
ял;249;0.000720
ые;247;0.000714
уб;247;0.000714
су;246;0.000711
жн;246;0.000711
иб;241;0.000697
аг;240;0.000694
яс;240;0.000694
ба;234;0.000676
иш;234;0.000676
ук;234;0.000676
рн;233;0.000673
ай;232;0.000670
чу;232;0.000670
вш;230;0.000665
сс;229;0.000662
зд;229;0.000662
пл;226;0.000653
бл;224;0.000647
ыс;220;0.000636
пя;218;0.000630
хи;216;0.000624
ою;216;0.000624
ву;213;0.000616
гр;213;0.000616
уп;213;0.000616
кт;212;0.000613
ув;211;0.000610
оя;211;0.000610
уш;210;0.000607
жд;209;0.000604
кн;209;0.000604
шь;208;0.000601
 ш;204;0.000590
ои;204;0.000590
лы;203;0.000587
ии;201;0.000581
ян;198;0.000572
бя;198;0.000572
ют;192;0.000555
ги;192;0.000555
вл;191;0.000552
дл;191;0.000552
щи;188;0.000543
дя;186;0.000538
ун;186;0.000538
зо;183;0.000529
ца;183;0.000529
ех;183;0.000529
аб;182;0.000526
ыш;182;0.000526
шк;179;0.000517
йт;177;0.000512
чк;177;0.000512
кл;175;0.000506
ох;173;0.000500
ья;173;0.000500
 ц;171;0.000494
 ф;170;0.000491
шл;169;0.000488
иг;167;0.000483
яд;165;0.000477
ке;164;0.000474
вз;164;0.000474
б ;157;0.000454
ды;156;0.000451
гу;154;0.000445
вр;154;0.000445
ха;148;0.000428
ьт;147;0.000425
ух;147;0.000425
нт;146;0.000422
йс;146;0.000422
ье;145;0.000419
шн;141;0.000408
зя;139;0.000402
ща;139;0.000402
ур;138;0.000399
зи;137;0.000396
ьм;136;0.000393
рв;135;0.000390
фи;130;0.000376
ч ;130;0.000376
тя;129;0.000373
ям;125;0.000361
сч;124;0.000358
вп;124;0.000358
ге;120;0.000347
хе;120;0.000347
ью;119;0.000344
ию;116;0.000335
рм;114;0.000329
ц ;114;0.000329
зг;113;0.000327
мя;110;0.000318
лж;110;0.000318
юб;109;0.000315
рф;109;0.000315
тк;107;0.000309
нд;106;0.000306
рд;105;0.000303
ьш;105;0.000303
яв;103;0.000298
зр;103;0.000298
тч;103;0.000298
ци;102;0.000295
зл;102;0.000295
юд;101;0.000292
кс;100;0.000289
зы;98;0.000283
дс;97;0.000280
ец;96;0.000277
йн;94;0.000272
бн;94;0.000272
дц;93;0.000269
дт;93;0.000269
вт;91;0.000263
ео;91;0.000263
чь;90;0.000260
лк;89;0.000257
ыр;89;0.000257
рш;89;0.000257
уй;88;0.000254
нс;87;0.000251
ип;87;0.000251
лн;86;0.000249
ущ;85;0.000246
кв;85;0.000246
дк;84;0.000243
уз;84;0.000243
ню;84;0.000243
йд;84;0.000243
ощ;83;0.000240
нк;83;0.000240
жу;83;0.000240
тл;81;0.000234
фа;81;0.000234
иж;81;0.000234
сю;80;0.000231
гн;80;0.000231
ея;78;0.000225
ащ;76;0.000220
пы;74;0.000214
вя;74;0.000214
вч;74;0.000214
сх;73;0.000211
оо;73;0.000211
лч;73;0.000211
рю;72;0.000208
шу;70;0.000202
рж;69;0.000199
цу;69;0.000199
шо;68;0.000197
сы;68;0.000197
юс;68;0.000197
хв;67;0.000194
уе;67;0.000194
ею;66;0.000191
яз;65;0.000188
сд;64;0.000185
фо;63;0.000182
ьз;63;0.000182
ющ;63;0.000182
йш;63;0.000182
ио;62;0.000179
рк;61;0.000176
цы;60;0.000173
нц;59;0.000171
бщ;59;0.000171
мт;59;0.000171
зм;58;0.000168
йк;58;0.000168
ьх;58;0.000168
зе;57;0.000165
нч;56;0.000162
як;56;0.000162
ср;54;0.000156
ъя;54;0.000156
бс;54;0.000156
пь;54;0.000156
цо;54;0.000156
вь;53;0.000153
ях;53;0.000153
тт;52;0.000150
рг;52;0.000150
яе;51;0.000147
яч;51;0.000147
ыд;50;0.000145
еу;50;0.000145
ын;49;0.000142
еи;49;0.000142
бк;49;0.000142
щу;49;0.000142
йч;49;0.000142
рс;47;0.000136
ык;47;0.000136
чш;47;0.000136
ып;47;0.000136
ыб;47;0.000136
ищ;46;0.000133
ьи;46;0.000133
сб;45;0.000130
ху;45;0.000130
аи;44;0.000127
хн;44;0.000127
бъ;44;0.000127
лт;43;0.000124
жк;43;0.000124
ящ;42;0.000121
вм;41;0.000118
ыг;41;0.000118
ыч;41;0.000118
тю;40;0.000116
фу;40;0.000116
оф;40;0.000116
ьг;39;0.000113
хл;39;0.000113
мь;38;0.000110
яж;38;0.000110
иф;37;0.000107
эр;37;0.000107
оу;37;0.000107
рп;37;0.000107
лг;37;0.000107
пн;36;0.000104
 й;35;0.000101
зб;35;0.000101
яй;34;0.000098
яю;34;0.000098
юч;34;0.000098
рх;34;0.000098
зь;33;0.000095
яя;33;0.000095
мл;33;0.000095
тд;33;0.000095
тп;32;0.000092
фэ;32;0.000092
зк;32;0.000092
хр;31;0.000090
мг;31;0.000090
пт;31;0.000090
йе;30;0.000087
вк;30;0.000087
дп;30;0.000087
хм;30;0.000087
ьч;30;0.000087
йл;29;0.000084
оц;29;0.000084
яр;28;0.000081
дш;28;0.000081
фр;27;0.000078
ьф;27;0.000078
пк;27;0.000078
рб;27;0.000078
ац;27;0.000078
мп;26;0.000075
лл;26;0.000075
тц;26;0.000075
рч;26;0.000075
нщ;26;0.000075
рр;26;0.000075
яц;26;0.000075
юш;26;0.000075
шт;25;0.000072
дм;25;0.000072
мк;24;0.000069
сш;24;0.000069
ьб;24;0.000069
 щ;23;0.000066
ш ;23;0.000066
вх;23;0.000066
мс;22;0.000064
чр;22;0.000064
яг;22;0.000064
аф;21;0.000061
аа;21;0.000061
хт;21;0.000061
п ;21;0.000061
бх;21;0.000061
нф;20;0.000058
рл;20;0.000058
лп;20;0.000058
ау;20;0.000058
йм;20;0.000058
сц;20;0.000058
юн;20;0.000058
нр;20;0.000058
чо;20;0.000058
щь;19;0.000055
уя;19;0.000055
ьц;19;0.000055
юм;19;0.000055
яп;19;0.000055
гм;19;0.000055
фь;19;0.000055
дд;18;0.000052
иа;18;0.000052
 ю;18;0.000052
фе;17;0.000049
щн;17;0.000049
жь;17;0.000049
эк;17;0.000049
нг;16;0.000046
йц;16;0.000046
эх;16;0.000046
ьщ;16;0.000046
пп;15;0.000043
мч;15;0.000043
дж;14;0.000040
зж;14;0.000040
гк;14;0.000040
мр;14;0.000040
юр;13;0.000038
бь;13;0.000038
бм;13;0.000038
юю;13;0.000038
сг;13;0.000038
эн;13;0.000038
жо;12;0.000035
эл;12;0.000035
фг;12;0.000035
лд;12;0.000035
дх;12;0.000035
рз;12;0.000035
вв;12;0.000035
зз;12;0.000035
эд;11;0.000032
аэ;11;0.000032
бв;11;0.000032
дч;11;0.000032
лб;11;0.000032
яи;10;0.000029
ьв;10;0.000029
фы;10;0.000029
ыз;10;0.000029
ыж;10;0.000029
яб;10;0.000029
тм;10;0.000029
мм;10;0.000029
сж;10;0.000029
пс;10;0.000029
кж;9;0.000026
вц;9;0.000026
уи;9;0.000026
цв;9;0.000026
уа;9;0.000026
зъ;9;0.000026
её;8;0.000023
еа;8;0.000023
рц;8;0.000023
юж;8;0.000023
ьд;8;0.000023
хс;8;0.000023
гч;8;0.000023
дб;8;0.000023
ъе;7;0.000020
э ;7;0.000020
гы;7;0.000020
эй;7;0.000020
лш;7;0.000020
бд;7;0.000020
гт;7;0.000020
кш;7;0.000020
цк;7;0.000020
зч;7;0.000020
тщ;7;0.000020
пч;7;0.000020
фт;7;0.000020
тф;6;0.000017
ф ;6;0.000017
мб;6;0.000017
гв;6;0.000017
зп;6;0.000017
дю;6;0.000017
тх;6;0.000017
яш;6;0.000017
вг;6;0.000017
съ;6;0.000017
юк;6;0.000017
йб;6;0.000017
кх;6;0.000017
ёт;5;0.000014
фф;5;0.000014
тэ;5;0.000014
еф;5;0.000014
тг;5;0.000014
ён;5;0.000014
жб;5;0.000014
ао;5;0.000014
мц;5;0.000014
лз;5;0.000014
рщ;5;0.000014
зт;5;0.000014
тъ;5;0.000014
иу;5;0.000014
аё;4;0.000012
чл;4;0.000012
лв;4;0.000012
лм;4;0.000012
ём;4;0.000012
эм;4;0.000012
юз;4;0.000012
хш;4;0.000012
пц;4;0.000012
цт;4;0.000012
дз;4;0.000012
ыщ;4;0.000012
нб;4;0.000012
бш;4;0.000012
уф;3;0.000009
йо;3;0.000009
оэ;3;0.000009
ыя;3;0.000009
жр;3;0.000009
эс;3;0.000009
зс;3;0.000009
тз;3;0.000009
ыу;3;0.000009
нш;3;0.000009
шм;3;0.000009
юв;3;0.000009
пш;3;0.000009
хз;3;0.000009
ыи;3;0.000009
км;3;0.000009
жс;3;0.000009
бч;3;0.000009
нз;3;0.000009
дг;3;0.000009
фл;3;0.000009
шв;3;0.000009
нв;3;0.000009
зш;3;0.000009
юх;3;0.000009
уо;2;0.000006
щё;2;0.000006
мё;2;0.000006
тё;2;0.000006
кц;2;0.000006
фс;2;0.000006
юл;2;0.000006
уц;2;0.000006
фм;2;0.000006
мш;2;0.000006
гс;2;0.000006
бт;2;0.000006
тб;2;0.000006
мф;2;0.000006
нх;2;0.000006
тш;2;0.000006
ээ;2;0.000006
дэ;1;0.000003
ёс;1;0.000003
кз;1;0.000003
рэ;1;0.000003
пё;1;0.000003
лх;1;0.000003
оё;1;0.000003
чё;1;0.000003
бё;1;0.000003
ёл;1;0.000003
эв;1;0.000003
нё;1;0.000003
ёр;1;0.000003
ёк;1;0.000003
лё;1;0.000003
мв;1;0.000003
иэ;1;0.000003
жц;1;0.000003
дъ;1;0.000003
бц;1;0.000003
цм;1;0.000003
дщ;1;0.000003
юй;1;0.000003
ьо;1;0.000003
жл;1;0.000003
вй;1;0.000003
оа;1;0.000003
въ;1;0.000003
йф;1;0.000003
хэ;1;0.000003
кй;1;0.000003
бж;1;0.000003
жг;1;0.000003
щ ;1;0.000003
бб;1;0.000003
жж;1;0.000003
сз;1;0.000003
лф;1;0.000003
нж;1;0.000003
эг;1;0.000003
мю;1;0.000003
жм;1;0.000003
зю;1;0.000003
жт;1;0.000003
эф;1;0.000003
бю;1;0.000003
