Біграма;Кількість;Частота
тд;130;0.000451
дс;130;0.000451
ию;130;0.000451
зг;129;0.000447
зя;129;0.000447
сч;127;0.000440
йо;127;0.000440
сд;127;0.000440
юб;126;0.000437
лж;124;0.000430
уо;121;0.000420
ыд;120;0.000416
ыб;120;0.000416
вч;119;0.000413
тб;119;0.000413
гн;118;0.000409
рм;118;0.000409
кп;117;0.000406
ци;116;0.000402
рд;116;0.000402
дт;116;0.000402
ью;114;0.000395
ык;113;0.000392
хн;112;0.000388
йм;111;0.000385
нч;111;0.000385
рф;111;0.000385
ец;110;0.000381
вэ;109;0.000378
ьш;109;0.000378
аэ;107;0.000371
хп;107;0.000371
мч;106;0.000368
зр;106;0.000368
яа;105;0.000364
ьу;105;0.000364
ьх;105;0.000364
оэ;104;0.000361
ях;104;0.000361
хс;103;0.000357
тл;102;0.000354
зл;102;0.000354
ьр;100;0.000347
лд;98;0.000340
дк;98;0.000340
аа;97;0.000336
вя;96;0.000333
зе;95;0.000329
уе;94;0.000326
мб;94;0.000326
йр;94;0.000326
дц;94;0.000326
зы;94;0.000326
ущ;93;0.000322
вг;92;0.000319
яж;92;0.000319
ьг;91;0.000316
юп;91;0.000316
нр;90;0.000312
мм;89;0.000309
нб;89;0.000309
юв;89;0.000309
еа;88;0.000305
ыо;88;0.000305
иа;86;0.000298
лб;86;0.000298
яу;85;0.000295
сб;85;0.000295
ср;85;0.000295
яг;85;0.000295
жу;85;0.000295
сх;84;0.000291
ащ;84;0.000291
тм;84;0.000291
рп;84;0.000291
кд;84;0.000291
ыч;84;0.000291
бн;83;0.000288
сю;83;0.000288
мр;83;0.000288
лг;82;0.000284
ьа;82;0.000284
пы;81;0.000281
юи;81;0.000281
мг;81;0.000281
ею;81;0.000281
фа;80;0.000277
сж;80;0.000277
оа;79;0.000274
рс;79;0.000274
йг;79;0.000274
чь;78;0.000270
вм;78;0.000270
шо;78;0.000270
юн;78;0.000270
йш;78;0.000270
ню;77;0.000267
юк;77;0.000267
бс;77;0.000267
ощ;75;0.000260
яя;75;0.000260
кк;75;0.000260
юч;75;0.000260
рк;75;0.000260
зк;74;0.000257
йб;74;0.000257
мз;74;0.000257
сы;73;0.000253
иэ;73;0.000253
цу;73;0.000253
уй;73;0.000253
хл;72;0.000250
зм;72;0.000250
цо;72;0.000250
рш;71;0.000246
рж;71;0.000246
ющ;68;0.000236
ху;68;0.000236
уя;67;0.000232
ыз;67;0.000232
шу;66;0.000229
рг;66;0.000229
рю;66;0.000229
ыг;65;0.000225
цы;65;0.000225
ьэ;65;0.000225
кч;65;0.000225
хд;64;0.000222
лз;64;0.000222
фо;63;0.000218
йе;63;0.000218
уа;63;0.000218
зп;63;0.000218
нц;62;0.000215
вб;62;0.000215
лм;61;0.000212
яю;61;0.000212
мл;61;0.000212
иф;60;0.000208
оф;60;0.000208
хм;59;0.000205
хт;59;0.000205
юр;58;0.000201
тз;58;0.000201
хр;58;0.000201
юо;58;0.000201
бщ;58;0.000201
ьл;57;0.000198
вь;57;0.000198
жк;57;0.000198
км;57;0.000198
йл;56;0.000194
дп;55;0.000191
щу;55;0.000191
юм;55;0.000191
яэ;55;0.000191
зс;54;0.000187
пь;54;0.000187
оц;53;0.000184
еэ;53;0.000184
хк;51;0.000177
рб;51;0.000177
ъя;51;0.000177
лл;49;0.000170
бк;49;0.000170
мж;48;0.000166
уу;47;0.000163
нз;46;0.000159
кж;45;0.000156
вх;45;0.000156
ёэ;45;0.000156
чш;44;0.000153
ищ;43;0.000149
дд;43;0.000149
йз;43;0.000149
эр;42;0.000146
ыу;42;0.000146
зб;42;0.000146
хб;42;0.000146
нг;41;0.000142
бъ;41;0.000142
фу;41;0.000142
гп;41;0.000142
йу;41;0.000142
гс;40;0.000139
ьф;40;0.000139
ац;40;0.000139
ьж;40;0.000139
тг;39;0.000135
мь;39;0.000135
мэ;39;0.000135
тю;39;0.000135
гв;39;0.000135
яй;38;0.000132
рх;38;0.000132
тж;38;0.000132
гк;38;0.000132
тэ;37;0.000128
пн;37;0.000128
яц;37;0.000128
жо;36;0.000125
зт;36;0.000125
нм;36;0.000125
ёп;36;0.000125
рр;35;0.000121
сг;35;0.000121
ьц;35;0.000121
лэ;35;0.000121
дм;35;0.000121
ящ;34;0.000118
йа;34;0.000118
тц;33;0.000114
юз;33;0.000114
чр;33;0.000114
юш;33;0.000114
рч;32;0.000111
сз;32;0.000111
кз;32;0.000111
аф;31;0.000107
зь;31;0.000107
бэ;30;0.000104
фр;30;0.000104
кг;30;0.000104
ёв;30;0.000104
чо;30;0.000104
зж;29;0.000101
кэ;29;0.000101
сш;28;0.000097
фэ;28;0.000097
йэ;28;0.000097
жб;28;0.000097
юж;27;0.000094
ёс;27;0.000094
ыэ;27;0.000094
гм;27;0.000094
кя;27;0.000094
ёт;26;0.000090
нщ;26;0.000090
дч;26;0.000090
ён;25;0.000087
пп;25;0.000087
пк;25;0.000087
юа;25;0.000087
щь;24;0.000083
кх;24;0.000083
шт;24;0.000083
цв;24;0.000083
хч;24;0.000083
уэ;23;0.000080
дб;23;0.000080
нф;22;0.000076
йц;22;0.000076
сц;22;0.000076
бм;22;0.000076
хз;22;0.000076
бх;22;0.000076
дз;21;0.000073
фе;20;0.000069
еф;20;0.000069
нэ;20;0.000069
пт;20;0.000069
йх;19;0.000066
рз;19;0.000066
ыя;19;0.000066
нх;19;0.000066
юг;19;0.000066
йя;19;0.000066
яш;19;0.000066
йж;19;0.000066
бв;19;0.000066
юл;19;0.000066
юу;19;0.000066
зз;19;0.000066
нл;19;0.000066
зч;19;0.000066
дж;18;0.000062
рл;18;0.000062
ыа;18;0.000062
ёр;18;0.000062
жт;18;0.000062
ёо;18;0.000062
дш;18;0.000062
эк;17;0.000059
хэ;17;0.000059
бь;17;0.000059
хг;17;0.000059
лш;17;0.000059
мф;17;0.000059
ыж;17;0.000059
цп;17;0.000059
мх;17;0.000059
юэ;17;0.000059
ёб;17;0.000059
юю;17;0.000059
дх;17;0.000059
гт;17;0.000059
жь;16;0.000055
жс;16;0.000055
сэ;16;0.000055
жп;16;0.000055
мш;15;0.000052
эл;15;0.000052
чп;15;0.000052
ёе;15;0.000052
чв;15;0.000052
зъ;15;0.000052
гч;14;0.000049
щн;14;0.000049
ёи;14;0.000049
бч;14;0.000049
тф;13;0.000045
ьщ;13;0.000045
вц;13;0.000045
юх;13;0.000045
фь;13;0.000045
юя;13;0.000045
эх;13;0.000045
гз;13;0.000045
эн;12;0.000042
тх;12;0.000042
уф;12;0.000042
вж;12;0.000042
юф;12;0.000042
йф;12;0.000042
ёк;12;0.000042
жв;12;0.000042
юе;12;0.000042
жэ;12;0.000042
жя;12;0.000042
ъе;11;0.000038
эй;11;0.000038
цт;11;0.000038
цк;11;0.000038
ёд;11;0.000038
рц;10;0.000035
ёч;10;0.000035
чс;10;0.000035
пс;10;0.000035
её;9;0.000031
чл;9;0.000031
фг;9;0.000031
фы;9;0.000031
гг;9;0.000031
нш;9;0.000031
ёз;9;0.000031
хж;9;0.000031
бт;9;0.000031
эд;8;0.000028
ём;8;0.000028
цс;8;0.000028
яф;8;0.000028
кш;8;0.000028
ёу;8;0.000028
лх;8;0.000028
тш;8;0.000028
жл;8;0.000028
тщ;8;0.000028
хя;8;0.000028
вф;7;0.000024
мц;7;0.000024
жч;7;0.000024
дю;7;0.000024
дэ;7;0.000024
шм;7;0.000024
цн;7;0.000024
хш;7;0.000024
нж;7;0.000024
гб;7;0.000024
жм;7;0.000024
лф;7;0.000024
дг;7;0.000024
зц;6;0.000021
ыц;6;0.000021
гы;6;0.000021
зэ;6;0.000021
ёл;6;0.000021
рщ;6;0.000021
жз;6;0.000021
цч;6;0.000021
зш;6;0.000021
фт;6;0.000021
фф;5;0.000017
жр;5;0.000017
бд;5;0.000017
эм;5;0.000017
кф;5;0.000017
шп;5;0.000017
кц;5;0.000017
ёг;5;0.000017
съ;5;0.000017
ёж;5;0.000017
ёх;5;0.000017
чд;5;0.000017
сф;4;0.000014
хф;4;0.000014
цм;4;0.000014
пц;4;0.000014
пч;4;0.000014
бз;4;0.000014
ээ;4;0.000014
шс;4;0.000014
тъ;4;0.000014
цр;4;0.000014
чб;4;0.000014
бш;4;0.000014
хц;4;0.000014
фс;3;0.000010
нй;3;0.000010
ыф;3;0.000010
вй;3;0.000010
тй;3;0.000010
дф;3;0.000010
рэ;3;0.000010
вю;3;0.000010
пш;3;0.000010
зх;3;0.000010
шб;3;0.000010
ыщ;3;0.000010
щр;3;0.000010
жг;3;0.000010
чг;3;0.000010
бб;3;0.000010
фл;3;0.000010
гя;3;0.000010
хх;3;0.000010
бп;3;0.000010
хщ;2;0.000007
щё;2;0.000007
кй;2;0.000007
эп;2;0.000007
эс;2;0.000007
йй;2;0.000007
цг;2;0.000007
тё;2;0.000007
чм;2;0.000007
фм;2;0.000007
шр;2;0.000007
уц;2;0.000007
эч;2;0.000007
зю;2;0.000007
гх;2;0.000007
ця;2;0.000007
юц;2;0.000007
цз;2;0.000007
чх;2;0.000007
пд;2;0.000007
зф;2;0.000007
йю;2;0.000007
жж;2;0.000007
эв;2;0.000007
мю;2;0.000007
бю;2;0.000007
чч;2;0.000007
пё;1;0.000003
вё;1;0.000003
пэ;1;0.000003
фд;1;0.000003
эж;1;0.000003
эи;1;0.000003
оё;1;0.000003
мй;1;0.000003
юй;1;0.000003
чё;1;0.000003
аё;1;0.000003
бё;1;0.000003
мё;1;0.000003
ьй;1;0.000003
нё;1;0.000003
цх;1;0.000003
жц;1;0.000003
кщ;1;0.000003
бц;1;0.000003
жх;1;0.000003
дщ;1;0.000003
шя;1;0.000003
пб;1;0.000003
чж;1;0.000003
зщ;1;0.000003
лщ;1;0.000003
цл;1;0.000003
гэ;1;0.000003
пв;1;0.000003
шч;1;0.000003
вщ;1;0.000003
чз;1;0.000003
цш;1;0.000003
пм;1;0.000003
шд;1;0.000003
чя;1;0.000003
чэ;1;0.000003
сщ;1;0.000003
гф;1;0.000003
цж;1;0.000003
цф;1;0.000003
пз;1;0.000003
шв;1;0.000003
цб;1;0.000003
фв;1;0.000003
цд;1;0.000003
