Біграма;Кількість;Частота
ыз;122;0.000212
жк;122;0.000212
кч;122;0.000212
йе;119;0.000206
рг;119;0.000206
оф;119;0.000206
юо;117;0.000203
иф;116;0.000201
ьл;116;0.000201
юр;114;0.000198
вь;114;0.000198
тз;114;0.000198
хр;114;0.000198
йл;114;0.000198
бщ;114;0.000198
юм;113;0.000196
пь;113;0.000196
зп;113;0.000196
лм;109;0.000189
хк;109;0.000189
ъя;108;0.000187
дп;106;0.000184
щу;101;0.000175
яэ;97;0.000168
йз;96;0.000166
зс;96;0.000166
мж;94;0.000163
чш;93;0.000161
оц;93;0.000161
гп;93;0.000161
ищ;92;0.000159
лл;91;0.000158
тг;91;0.000158
кж;90;0.000156
ящ;90;0.000156
ыу;90;0.000156
яю;89;0.000154
уу;89;0.000154
йу;89;0.000154
бк;89;0.000154
нг;87;0.000151
ёэ;87;0.000151
тэ;86;0.000149
рб;86;0.000149
нз;86;0.000149
бъ;85;0.000147
хб;84;0.000146
нм;83;0.000144
фу;83;0.000144
зт;82;0.000142
гв;81;0.000140
дд;78;0.000135
зб;77;0.000133
ёп;76;0.000132
тю;76;0.000132
гс;76;0.000132
ац;76;0.000132
яц;76;0.000132
эр;75;0.000130
яй;74;0.000128
мь;74;0.000128
ьф;72;0.000125
тж;72;0.000125
гк;72;0.000125
вх;72;0.000125
жо;71;0.000123
ьц;71;0.000123
пн;71;0.000123
рр;70;0.000121
мэ;70;0.000121
зь;70;0.000121
юш;70;0.000121
рч;69;0.000120
рх;68;0.000118
тц;67;0.000116
аф;65;0.000113
дм;65;0.000113
лэ;64;0.000111
сз;64;0.000111
йа;64;0.000111
ьж;63;0.000109
сг;63;0.000109
кз;62;0.000107
ёв;61;0.000106
чо;61;0.000106
кг;60;0.000104
фэ;60;0.000104
ыэ;59;0.000102
йж;58;0.000101
кя;57;0.000099
фр;56;0.000097
кэ;55;0.000095
пк;55;0.000095
юж;54;0.000094
юа;54;0.000094
ёс;53;0.000092
дш;53;0.000092
нщ;53;0.000092
сш;52;0.000090
юз;52;0.000090
чр;52;0.000090
бэ;51;0.000088
уэ;51;0.000088
йэ;50;0.000087
гм;50;0.000087
хз;50;0.000087
ёт;49;0.000085
еф;49;0.000085
хч;47;0.000081
цв;46;0.000080
нл;46;0.000080
дч;46;0.000080
рл;44;0.000076
зж;43;0.000075
ён;43;0.000075
йц;43;0.000075
йх;42;0.000073
йя;42;0.000073
мх;42;0.000073
пт;42;0.000073
нф;41;0.000071
кх;41;0.000071
ёб;41;0.000071
бв;41;0.000071
жб;40;0.000069
ыж;40;0.000069
дб;40;0.000069
сэ;40;0.000069
шт;39;0.000068
сц;39;0.000068
дз;39;0.000068
юу;39;0.000068
мф;38;0.000066
бх;38;0.000066
ёе;38;0.000066
зз;38;0.000066
зч;38;0.000066
щь;37;0.000064
фе;37;0.000064
пп;37;0.000064
бм;37;0.000064
юг;37;0.000064
хэ;36;0.000062
яш;36;0.000062
ёр;36;0.000062
жь;36;0.000062
жс;36;0.000062
вц;35;0.000061
нх;35;0.000061
хг;35;0.000061
юл;35;0.000061
нэ;35;0.000061
дх;35;0.000061
мш;34;0.000059
рз;34;0.000059
ыя;34;0.000059
ыа;33;0.000057
эк;32;0.000055
тх;32;0.000055
гт;32;0.000055
ёо;32;0.000055
фь;32;0.000055
дж;31;0.000054
цп;31;0.000054
лш;31;0.000054
жв;31;0.000054
жт;31;0.000054
гз;31;0.000054
гч;30;0.000052
бь;30;0.000052
юю;30;0.000052
чп;29;0.000050
чв;29;0.000050
жп;29;0.000050
ьщ;28;0.000049
щн;28;0.000049
цк;27;0.000047
эх;27;0.000047
эл;26;0.000045
уф;26;0.000045
ёк;26;0.000045
бч;25;0.000043
тф;24;0.000042
юя;24;0.000042
лх;23;0.000040
юэ;23;0.000040
юе;23;0.000040
фг;22;0.000038
цт;22;0.000038
ёи;22;0.000038
ёд;22;0.000038
зъ;22;0.000038
жэ;22;0.000038
жя;22;0.000038
чс;22;0.000038
вж;21;0.000036
эн;20;0.000035
эд;20;0.000035
цс;20;0.000035
йф;20;0.000035
ёч;20;0.000035
ъе;19;0.000033
яф;19;0.000033
юх;19;0.000033
гб;19;0.000033
хж;19;0.000033
ёз;19;0.000033
гы;18;0.000031
тш;18;0.000031
мц;17;0.000029
фы;17;0.000029
юф;17;0.000029
ёу;17;0.000029
хш;17;0.000029
бт;17;0.000029
пс;17;0.000029
эй;16;0.000028
рц;16;0.000028
кш;16;0.000028
нш;16;0.000028
тщ;16;0.000028
цн;16;0.000028
жм;16;0.000028
хя;16;0.000028
чл;15;0.000026
зэ;15;0.000026
пч;15;0.000026
жл;15;0.000026
дэ;14;0.000024
дг;14;0.000024
ём;14;0.000024
гг;14;0.000024
лф;14;0.000024
вф;13;0.000023
её;13;0.000023
фт;13;0.000023
нж;13;0.000023
уц;12;0.000021
жч;12;0.000021
шм;12;0.000021
сф;11;0.000019
дю;11;0.000019
цч;11;0.000019
чб;11;0.000019
рэ;10;0.000017
зц;10;0.000017
тй;10;0.000017
ёл;10;0.000017
рщ;10;0.000017
жз;10;0.000017
зш;10;0.000017
ёх;10;0.000017
ыц;9;0.000016
жр;9;0.000016
бд;9;0.000016
кц;9;0.000016
чм;9;0.000016
съ;9;0.000016
фф;8;0.000014
юц;8;0.000014
хф;8;0.000014
фл;8;0.000014
бп;8;0.000014
гэ;8;0.000014
цр;8;0.000014
тъ;8;0.000014
ээ;8;0.000014
кф;7;0.000012
ёг;7;0.000012
цз;7;0.000012
бз;7;0.000012
гя;7;0.000012
чд;7;0.000012
бш;7;0.000012
вй;6;0.000010
нй;6;0.000010
эм;6;0.000010
эс;6;0.000010
зх;6;0.000010
эв;6;0.000010
цм;6;0.000010
пш;6;0.000010
хх;6;0.000010
ёж;6;0.000010
шв;6;0.000010
ыф;5;0.000009
шп;5;0.000009
шс;5;0.000009
пц;5;0.000009
ыщ;5;0.000009
ця;5;0.000009
чг;5;0.000009
цд;5;0.000009
хц;5;0.000009
пэ;4;0.000007
хщ;4;0.000007
щё;4;0.000007
аё;4;0.000007
эп;4;0.000007
йй;4;0.000007
дф;4;0.000007
цг;4;0.000007
фм;4;0.000007
шр;4;0.000007
вю;4;0.000007
шб;4;0.000007
ёя;4;0.000007
жж;4;0.000007
пб;4;0.000007
чч;4;0.000007
жг;4;0.000007
чз;4;0.000007
вщ;4;0.000007
мю;4;0.000007
вё;3;0.000005
фс;3;0.000005
кй;3;0.000005
чё;3;0.000005
мё;3;0.000005
тё;3;0.000005
зщ;3;0.000005
лщ;3;0.000005
щр;3;0.000005
чх;3;0.000005
бб;3;0.000005
йю;3;0.000005
пз;3;0.000005
чэ;3;0.000005
эг;3;0.000005
бю;3;0.000005
пё;2;0.000003
оё;2;0.000003
мй;2;0.000003
юй;2;0.000003
бё;2;0.000003
пв;2;0.000003
шг;2;0.000003
лё;2;0.000003
цх;2;0.000003
цб;2;0.000003
лц;2;0.000003
кщ;2;0.000003
дщ;2;0.000003
эч;2;0.000003
гж;2;0.000003
зю;2;0.000003
гх;2;0.000003
въ;2;0.000003
цф;2;0.000003
пд;2;0.000003
зф;2;0.000003
дё;2;0.000003
гф;2;0.000003
шд;2;0.000003
чя;2;0.000003
эф;2;0.000003
ёщ;1;0.000002
фд;1;0.000002
эо;1;0.000002
эж;1;0.000002
эи;1;0.000002
рё;1;0.000002
сй;1;0.000002
ьй;1;0.000002
нё;1;0.000002
фч;1;0.000002
жц;1;0.000002
ыю;1;0.000002
дъ;1;0.000002
бц;1;0.000002
жх;1;0.000002
ёш;1;0.000002
фб;1;0.000002
рй;1;0.000002
шя;1;0.000002
пх;1;0.000002
чж;1;0.000002
фп;1;0.000002
цл;1;0.000002
бж;1;0.000002
пг;1;0.000002
мщ;1;0.000002
шч;1;0.000002
цю;1;0.000002
йщ;1;0.000002
цш;1;0.000002
пм;1;0.000002
шж;1;0.000002
шз;1;0.000002
кю;1;0.000002
шц;1;0.000002
сщ;1;0.000002
цж;1;0.000002
цэ;1;0.000002
фв;1;0.000002
фк;1;0.000002
